scenario,metric,metric_label,decoder1,decoder2,p_raw,p_bonf,significant_0.01
scenario10,max_r,Max Pearson r,cosine-np,deepcell,0.0,0.0,True
scenario10,max_r,Max Pearson r,cosine-np,nn,0.0,0.0,True
scenario10,max_r,Max Pearson r,cosine-np,scaled,0.9965022794939457,1.0,False
scenario10,max_r,Max Pearson r,deepcell,nn,0.006094246753871491,0.060942467538714906,False
scenario10,max_r,Max Pearson r,deepcell,scaled,0.0,0.0,True
scenario10,max_r,Max Pearson r,nn,scaled,0.0,0.0,True
scenario10,max_rho,Max Spearman rho,bardensr,cosine-np,0.0,0.0,True
scenario10,max_rho,Max Spearman rho,bardensr,deepcell,1.4486245536460274e-10,1.4486245536460274e-09,True
scenario10,max_rho,Max Spearman rho,bardensr,nn,0.9999855541087774,1.0,False
scenario10,max_rho,Max Spearman rho,bardensr,scaled,0.0,0.0,True
scenario10,max_rho,Max Spearman rho,cosine-np,deepcell,1.0632139613164782e-10,1.0632139613164782e-09,True
scenario10,max_rho,Max Spearman rho,cosine-np,nn,0.0,0.0,True
scenario10,max_rho,Max Spearman rho,cosine-np,scaled,0.9997714362467712,1.0,False
scenario10,max_rho,Max Spearman rho,deepcell,nn,2.6734270353045986e-10,2.6734270353045986e-09,True
scenario10,max_rho,Max Spearman rho,deepcell,scaled,3.621146715815371e-10,3.621146715815371e-09,True
scenario10,max_rho,Max Spearman rho,nn,scaled,0.0,0.0,True
scenario10,exc_average_precision,Exact average precision,bardensr,cosine-np,0.0,0.0,True
scenario10,exc_average_precision,Exact average precision,bardensr,deepcell,1.199040866595169e-14,1.199040866595169e-13,True
scenario10,exc_average_precision,Exact average precision,bardensr,nn,2.6869318789923824e-06,2.6869318789923824e-05,True
scenario10,exc_average_precision,Exact average precision,bardensr,scaled,0.0,0.0,True
scenario10,exc_average_precision,Exact average precision,cosine-np,deepcell,5.6936566572574066e-11,5.693656657257407e-10,True
scenario10,exc_average_precision,Exact average precision,cosine-np,nn,0.0,0.0,True
scenario10,exc_average_precision,Exact average precision,cosine-np,scaled,0.6650699904448976,1.0,False
scenario10,exc_average_precision,Exact average precision,deepcell,nn,0.03419860923196871,0.34198609231968713,False
scenario10,exc_average_precision,Exact average precision,deepcell,scaled,1.887379141862766e-15,1.887379141862766e-14,True
scenario10,exc_average_precision,Exact average precision,nn,scaled,0.0,0.0,True
scenario2,exc_recall_at_max_f1,Exact recall,bardensr,cosine-np,2.1038630406144954e-05,0.00021038630406144954,True
scenario2,exc_recall_at_max_f1,Exact recall,bardensr,deepcell,7.582252306237436e-05,0.0007582252306237436,True
scenario2,exc_recall_at_max_f1,Exact recall,bardensr,nn,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario2,exc_recall_at_max_f1,Exact recall,bardensr,scaled,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario2,exc_recall_at_max_f1,Exact recall,cosine-np,deepcell,0.0,0.0,True
scenario2,exc_recall_at_max_f1,Exact recall,cosine-np,nn,0.0,0.0,True
scenario2,exc_recall_at_max_f1,Exact recall,cosine-np,scaled,0.0007905448819138794,0.007905448819138794,True
scenario2,exc_recall_at_max_f1,Exact recall,deepcell,nn,7.582252306237436e-05,0.0007582252306237436,True
