target	RS0015	RS0083	RS0095	RS0109	RS0175	RS0237	RS0247	RS0255	RS0307	RS0332	RS0343	RS0384	RS0406	RS0451	RS0468	RS0548
Maml3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Mreg	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1
Nckap5l	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0
Nuak1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0
Pcdhac2	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
Pid1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0
Ppp1r26	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0
Primpol	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0
Rab11fip5	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0
Rab3ip	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
Rab44	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0
Scarf1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
Scube3	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0
Slc35d2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
Smg7	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
Tmem151a	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0
Tnip3	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0
Txlna	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1
